ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069
TARA_112_SRF_0.22-3_G	TARA_112_SRF	Pico	SRF	Trades	SPO	-23.2811	-129.3947	5	134	24.26287	36.43917	0.14225	0.02525	0.7425	0.055382	0	0	0	0	0
TARA_122_DCM_0.22-3_G	TARA_122_DCM	Pico	DCM	Trades	SPO	-8.9966	-139.202	115	106	24.778725	36.065045	0.582933	2.67775	1.907042	0.198146	0	0	0	0	0
TARA_122_SRF_0.22-3_G	TARA_122_SRF	Pico	SRF	Trades	SPO	-8.9971	-139.1963	5	102	26.60467	35.37032	0.56795	5.456	2.1905	0.177137	0	0	0	0	0
TARA_123_SRF_0.22-3_G	TARA_123_SRF	Pico	SRF	Trades	SPO	-8.9068	-140.283	5	122	26.586685	35.3551	0.53495	4.9015	2.2205	0.181215	0	0	0	0	0
TARA_124_SRF_0.22-3_G	TARA_124_SRF	Pico	SRF	Trades	SPO	-8.8517	-140.5782	5	105	26.572419	35.384031	0.63025	6.2015	2.53325	0.261381	0	0	0	0	0
TARA_125_SRF_0.22-3_G	TARA_125_SRF	Pico	SRF	Trades	SPO	-8.9111	-142.5571	5	109	26.80604	35.42651	0.55725	3.7335	1.80475	0.178072	0	0	0	0	0
TARA_128_DCM_0.22-3_G	TARA_128_DCM	Pico	DCM	Trades	SPO	5e-4	-153.6755	40	64	26.139288	35.146525	0.54925	5.264	2.7405	0.28262	0	0	0	0	0
TARA_128_SRF_0.22-3_G	TARA_128_SRF	Pico	SRF	Trades	SPO	0.0138	-153.6393	5	71	26.218438	35.129025	0.53975	5.0815	2.668	0.25349	0	0	0	0	0
TARA_132_DCM_0.22-3_G	TARA_132_DCM	Pico	DCM	Westerlies	NPO	31.4949	-159.0561	115	51	15.304405	34.38819	0.1252	0.047	4.4468	0.156908	0	0	0	0	0
TARA_132_SRF_0.22-3_G	TARA_132_SRF	Pico	SRF	Westerlies	NPO	31.5213	-158.9958	5	42	25.164595	35.19025	0.0062	0.01	2.4278	0.101563	0	0	0	0	0
TARA_133_DCM_0.22-3_G	TARA_133_DCM	Pico	DCM	Westerlies	NPO	35.4068	-127.7432	45	11	13.874505	33.208145	0.43225	0.92875	2.65725	0.389715	0	0	0	0	0
TARA_133_SRF_0.22-3_G	TARA_133_SRF	Pico	SRF	Westerlies	NPO	35.3671	-127.7422	5	11	19.24802	33.07013	0.2925	0.011	1.95475	0.140785	0	0	0	0	0
TARA_137_DCM_0.22-3_G	TARA_137_DCM	Pico	DCM	Trades	NPO	14.1749	-116.7071	100	28	13.066005	34.682975	2.655	24.1655	30.188	0.140964	0	0	0	0	0
TARA_137_SRF_0.22-3_G	TARA_137_SRF	Pico	SRF	Trades	NPO	14.2022	-116.6291	5	29	26.478605	33.84798	0.456	2.444	2.538	0.251665	0	0	0	0	0
TARA_138_DCM_0.22-3_G	TARA_138_DCM	Pico	DCM	Trades	NPO	6.3094	-102.9606	60	43	19.279945	34.616675	1.108	12.904	8.073	0.22573	0	0	0	0	0
TARA_138_SRF_0.22-3_G	TARA_138_SRF	Pico	SRF	Trades	NPO	6.3332	-102.9432	5	45	26.605515	33.52041	0.1575	0.002	1.1855	0.125361	0	0	0	0	0
TARA_140_SRF_0.22-3_G	TARA_140_SRF	Pico	SRF	Coastal	NPO	7.4122	-79.3017	5	26	26.555663	28.922675	0.09345	0.00275	0.63375	0.182274	0	0	0	0	0
TARA_141_SRF_0.22-3_G	TARA_141_SRF	Pico	SRF	Coastal	NAO	9.8491	-80.0384	5	34	27.1673	34.80515	0.0132	5e-4	1.1195	0.094165	0	0	0	0	0
TARA_142_DCM_0.22-3_G	TARA_142_DCM	Pico	DCM	Coastal	NAO	25.5101	-88.383	125	151	24.961605	36.17927	NA	0.0615	1.168	0.114913	0	0	0	0	0
TARA_142_SRF_0.22-3_G	TARA_142_SRF	Pico	SRF	Coastal	NAO	25.4925	-88.3432	5	163	24.98644	36.180455	0.003	0.049	1.218	0.121596	0	0	0	0	0
TARA_145_SRF_0.22-3_G	TARA_145_SRF	Pico	SRF	Westerlies	NAO	39.2305	-70.0377	5	128	13.993715	35.12152	0.33275	3.7925	2.41425	0.169817	0	0	0.09246730339151843	0.2812005446255169	0.20478987418033057
TARA_146_SRF_0.22-3_G	TARA_146_SRF	Pico	SRF	Westerlies	NAO	34.6712	-71.3093	5	NA	19.312775	36.513137	NA	0.7375	0.944	0.126112	0	0	0	0	0
TARA_148_SRF_0.22-3_G	TARA_148_SRF	Pico	SRF	Westerlies	NAO	31.6948	-64.2489	5	134	20.481195	36.596745	0.0015	0.1505	0.728	0.120903	0	0	0	0	0
TARA_149_SRF_0.22-3_G	TARA_149_SRF	Pico	SRF	Westerlies	NAO	34.1132	-49.9181	5	167	18.82554	36.41274	NA	NA	NA	0.156401	0	0	0	0.0038421759025118267	0
TARA_150_DCM_0.22-3_G	TARA_150_DCM	Pico	DCM	Westerlies	NAO	35.8579	-37.17	40	106	17.585567	36.285033	0	0.1745	0.8423	0.21402	0	0	0	0	0
TARA_150_SRF_0.22-3_G	TARA_150_SRF	Pico	SRF	Westerlies	NAO	35.9346	-37.3032	5	77	17.627142	36.285292	0.0055	0.1695	0.8358	0.191003	0	0	0	0	0
TARA_151_DCM_0.22-3_G	TARA_151_DCM	Pico	DCM	Westerlies	NAO	36.1375	-28.935	70	56	16.8858	36.20373	0.0115	0.0445	0.633	0.164878	0	0	0	0	0
